iter	MultiClass
0	0.9696836378
1	0.8700712121
2	0.7885793247
3	0.72599825
4	0.6681109765
5	0.6173399147
6	0.5759090754
7	0.5402335321
8	0.5080618356
9	0.4775679405
10	0.4521364275
11	0.4277564825
12	0.4059654275
13	0.3904280469
14	0.3715413231
15	0.3571033279
16	0.3437842972
17	0.3298236773
18	0.3164785665
19	0.3048440818
20	0.2951404561
21	0.2878789526
22	0.279837638
23	0.2711716886
24	0.2645708568
25	0.2585761313
26	0.2522697817
27	0.2447838321
28	0.2380149627
29	0.2331618255
30	0.2284341262
31	0.2235060269
32	0.2187223879
33	0.2152293498
34	0.2113118705
35	0.205688857
36	0.2010877052
37	0.1982177061
38	0.1956160211
39	0.1917723512
40	0.1879396321
41	0.1838785953
42	0.1818161414
43	0.1787417726
44	0.1763497207
45	0.1741260419
46	0.1720554111
47	0.1696192468
48	0.1674910606
49	0.1654681188
50	0.1639773022
51	0.1617260199
52	0.1586626966
53	0.1558064403
54	0.1539931882
55	0.1523630482
56	0.150448787
57	0.1487290115
58	0.1469796764
59	0.1450064138
60	0.1432454605
61	0.1415406822
62	0.1399963585
63	0.1386147836
64	0.1370465235
65	0.1358976641
66	0.134733566
67	0.1326684639
68	0.1316090075
69	0.1297925678
70	0.1285111611
71	0.1271095993
72	0.1257230135
73	0.1247946493
74	0.1233736085
75	0.1219175708
76	0.1208747317
77	0.1197908086
78	0.1187901493
79	0.1177154248
80	0.1164391441
81	0.1154848958
82	0.1146326059
83	0.1135980229
84	0.1125148065
85	0.1117635533
86	0.110893571
87	0.1101931412
88	0.1092167374
89	0.108426431
90	0.1077065437
91	0.1068231659
92	0.1058956189
93	0.1050412328
94	0.1043755236
95	0.1034711355
96	0.1027661886
97	0.1021624906
98	0.1014552557
99	0.1006709116
100	0.09993977215
101	0.09941759913
102	0.09876069163
103	0.09810933644
104	0.09738612294
105	0.09666622008
106	0.09602197285
107	0.09522152184
108	0.09421695842
109	0.09333149414
110	0.09268281692
111	0.09216730642
112	0.09159984299
113	0.09090204462
114	0.09015152917
115	0.08965643468
116	0.08918190036
117	0.0884189766
118	0.08765931041
119	0.08710467154
120	0.08649830121
121	0.08602201741
122	0.08545951864
123	0.08474122672
124	0.08408404287
125	0.08368910645
126	0.08328155889
127	0.082853374
128	0.08230498528
129	0.08179586928
130	0.08130261495
131	0.08084510135
132	0.08041678641
133	0.07992508605
134	0.0796130851
135	0.07915285085
136	0.07894914407
137	0.07863572851
138	0.07823958298
139	0.07777420005
140	0.07721264281
141	0.07675051211
142	0.0764405978
143	0.07603123238
144	0.075684826
145	0.07530459924
146	0.07498438909
147	0.07459841858
148	0.07415888904
149	0.07373813412
150	0.0732965869
151	0.07295265852
152	0.07251204355
153	0.07212930436
154	0.0718000765
155	0.07132394967
156	0.07091680761
157	0.07051690224
158	0.07021149207
159	0.06982800088
160	0.06939306092
161	0.06905462545
162	0.06880915309
163	0.06852756871
164	0.06832700698
165	0.0679600521
166	0.067681366
167	0.06749012654
168	0.06726082153
169	0.06706374861
170	0.0667645024
171	0.0663057911
172	0.06605479402
173	0.06572465254
174	0.06530840897
175	0.06497795034
176	0.06469380885
177	0.06448270736
178	0.0642652131
179	0.06396902538
180	0.06375990076
181	0.06346821295
182	0.0632903019
183	0.06296170459
184	0.06274155531
185	0.06242333013
186	0.06202675658
187	0.0617674119
188	0.06157503715
189	0.06140573512
190	0.0611908353
191	0.0610126977
192	0.06060146
193	0.06014821321
194	0.05987830634
195	0.05965695935
196	0.05936765807
197	0.05901536705
198	0.05878501016
199	0.0585652455
